goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3276,2026-07-22,17,3762,3883,1638227,6553,181,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,,,,,6553,100146,13106,33,直近30日間の取引データなし,2026-07-25
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,13106,2026-07-17,2,13106,13106,13106,26212,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,24573,2026-07-17,2,24573,24573,24573,49147,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,44232,2026-07-20,3,44232,44232,75005,88464,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,131058,2026-07-11,1,131058,147440,147440,262116,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,368601,368601,737202,3,直近30日間の取引データなし,2026-07-25
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,6299,2026-07-25,38,6314,6307,1638227,9010,122,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8398,2026-07-25,53,9084,8350,155589,18020,24,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14416,2026-07-25,26,14937,14416,43985,36041,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,26477,40956,22935,3,直近30日間の取引データなし,2026-07-25
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,97342,97342,22935,1,直近30日間の取引データなし,2026-07-25
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1638227,1638227,16382,1,直近30日間の取引データなし,2026-07-25
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,35512,66366,5570,3,直近30日間の取引データなし,2026-07-25
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,14867,66366,5570,6,直近30日間の取引データなし,2026-07-25
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,819,1638227,1638,550,直近30日間の取引データなし,2026-07-25
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,1638,2026-07-19,1,1638,1638,235919,3276,113,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-25
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3276,278499,6553,17,直近30日間の取引データなし,2026-07-25
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5898,22935,11795,21,直近30日間の取引データなし,2026-07-25
