goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3160,2026-08-02,18,3390,4420,1580155,6321,178,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,,,,,6321,96596,12641,33,直近30日間の取引データなし,2026-08-03
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12641,2026-07-30,3,12641,12641,12641,25282,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,23702,2026-07-17,1,23702,23702,23702,47405,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,42664,2026-08-02,6,43283,42664,72346,85328,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,126412,2026-07-11,1,126412,126412,142214,252825,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,355535,355535,711070,3,直近30日間の取引データなし,2026-08-03
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5638,2026-08-03,37,5918,4898,1580155,8691,127,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8790,2026-08-03,52,8616,8599,150074,17382,26,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,13905,2026-08-03,26,14219,13905,42426,34763,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,39502,39504,22122,2,直近30日間の取引データなし,2026-08-03
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,93891,93891,22122,1,直近30日間の取引データなし,2026-08-03
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1580155,1580155,15802,1,直近30日間の取引データなし,2026-08-03
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,34253,64014,5373,3,直近30日間の取引データなし,2026-08-03
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,22519,64014,5373,5,直近30日間の取引データなし,2026-08-03
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,790,1580155,1580,551,直近30日間の取引データなし,2026-08-03
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,1580,2026-07-19,1,1580,1580,227557,3160,116,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3160,268626,6321,17,直近30日間の取引データなし,2026-08-03
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5689,22122,11377,20,直近30日間の取引データなし,2026-08-03
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11061,36928,22122,13,直近30日間の取引データなし,2026-08-03
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21332,139480,42664,2,直近30日間の取引データなし,2026-08-03
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,39504,2026-07-21,1,39504,39504,321302,79008,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,2411,2026-07-27,2,1299,2384,15802,316,41,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1316,2026-07-29,2,1374,1316,15802,1447,27,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,1264,2026-07-30,2,1264,1264,7901,2528,26,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,833,2026-08-03,13,1072,1071,1575958,1580,314,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
432,M4A1:進撃の巨人 旗艦版(専属),M4A1: Power Reverence Flagship Edition (Exclusive),銃器,Weapon,1667,2026-08-03,26,1651,1754,1580155,3160,85,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
433,M4A1:進撃の巨人 豪華旗艦版(専属),M4A1: Power Reverence Deluxe Flagship Edition (Exclusive),銃器,Weapon,3160,2026-08-03,13,3160,3160,17025,6321,50,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
434,AK-47:リヴァイ 先鋒版(専属),AK47: Strongest Human Vanguard Edition (Exclusive),銃器,Weapon,632,2026-07-30,2,632,632,1580155,1264,380,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
435,AK-47:リヴァイ 旗艦版(専属),AK47: Strongest Human Flagship Edition (Exclusive),銃器,Weapon,2370,2026-08-02,5,2370,2370,11527,4740,54,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
436,M16A4:自由の翼 先鋒版(専属),M16A4: Liberty Wind Vanguard Edition (Exclusive),銃器,Weapon,961,2026-08-03,7,1041,1476,632062,1580,193,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
437,M16A4:自由の翼 進化版(専属),M16A4: Liberty Wind Enjoy Edition (Exclusive),銃器,Weapon,2889,2026-08-03,13,2475,2941,12801,3160,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
438,M16A4:自由の翼 旗艦版(専属),M16A4: Liberty Wind Flagship Edition (Exclusive),銃器,Weapon,3160,2026-08-03,48,3316,3160,21122,6321,68,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
443,M27:ドラゴンフォース 旗艦版(専属),M27: Dragon Force Flagship Edition (exclusive),銃器,Weapon,6321,2026-08-03,16,6323,6321,30543,12641,96,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
444,P90:ドラゴンフォース 先鋒版(専属),P90: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,792,2026-07-13,1,792,790,6275,1580,52,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
445,P90:ドラゴンフォース 豪華版(専属),P90: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,,,,,1702,4153,3160,16,直近30日間の取引データなし,2026-08-03
446,P90:ドラゴンフォース 旗艦版(専属),P90: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,3160,2026-07-30,6,3160,3160,316031,6321,10,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-03
