goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3260,2026-07-22,20,3671,4559,1630130,6521,178,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6521,2026-06-23,1,6521,6521,99651,13041,35,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,13041,2026-07-17,2,13041,13041,26082,26082,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,24452,2026-07-17,2,24452,24452,24452,48904,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,44014,2026-07-20,3,44014,44014,74634,88027,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,130410,2026-07-11,1,130410,146712,146712,260821,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,366779,366779,733559,3,直近30日間の取引データなし,2026-07-22
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,6234,2026-07-22,39,6324,6819,1630130,8966,114,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8703,2026-07-22,53,9076,9937,154820,17931,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14345,2026-07-21,25,14883,14345,43767,35863,19,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,24657,40753,22822,3,直近30日間の取引データなし,2026-07-22
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,96861,96861,22822,1,直近30日間の取引データなし,2026-07-22
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1630130,1630130,16301,1,直近30日間の取引データなし,2026-07-22
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,35336,66038,5542,3,直近30日間の取引データなし,2026-07-22
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,14793,66038,5542,6,直近30日間の取引データなし,2026-07-22
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,815,1630130,1630,551,直近30日間の取引データなし,2026-07-22
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,1630,2026-07-19,1,1630,1630,234753,3260,113,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3260,277122,6521,17,直近30日間の取引データなし,2026-07-22
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5868,22822,11737,21,直近30日間の取引データなし,2026-07-22
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11411,38096,22822,12,直近30日間の取引データなし,2026-07-22
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,22007,143892,44014,2,直近30日間の取引データなし,2026-07-22
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,40753,2026-07-21,2,40753,40753,331464,81507,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-22
