goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,4077,2026-09-20,14,3612,4458,1573536,6294,180,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6294,2026-09-21,4,6294,6294,96192,12588,29,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12588,2026-09-02,1,12588,12588,12588,25177,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,23603,2026-08-31,2,23603,23603,25177,47206,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,42681,2026-09-22,4,42534,42485,42515,84971,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,,,,,125883,141618,251766,3,直近30日間の取引データなし,2026-09-22
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,354046,354046,708091,3,直近30日間の取引データなし,2026-09-22
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,6242,2026-09-22,39,5921,6609,1573536,8654,119,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8894,2026-09-22,56,8740,8922,149445,17309,24,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,13847,2026-09-21,32,13847,15358,42248,34618,15,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,21793,39338,22030,3,直近30日間の取引データなし,2026-09-22
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,93498,93498,22030,1,直近30日間の取引データなし,2026-09-22
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,236030,1573536,15735,2,直近30日間の取引データなし,2026-09-22
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,34110,63746,5350,3,直近30日間の取引データなし,2026-09-22
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,14530,2026-08-26,1,14530,22424,63746,5350,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,787,2026-09-17,2,787,787,1573536,1574,552,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,1574,2026-09-22,3,1574,1574,226603,3147,117,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3147,267501,6294,17,直近30日間の取引データなし,2026-09-22
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5665,22030,11329,19,直近30日間の取引データなし,2026-09-22
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,11015,2026-08-24,1,11015,11015,36774,22030,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21243,138896,42485,3,直近30日間の取引データなし,2026-09-22
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,,,,,39338,319956,78677,23,直近30日間の取引データなし,2026-09-22
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,1806,2026-09-11,2,1624,1459,15735,315,47,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1882,2026-09-04,3,1584,1550,15735,315,27,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,,,,,1259,7868,2518,26,直近30日間の取引データなし,2026-09-22
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,1083,2026-09-20,14,968,1180,1569357,1574,319,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
432,M4A1:進撃の巨人 旗艦版(専属),M4A1: Power Reverence Flagship Edition (Exclusive),銃器,Weapon,1942,2026-09-22,24,2018,2474,1573536,3147,83,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
433,M4A1:進撃の巨人 豪華旗艦版(専属),M4A1: Power Reverence Deluxe Flagship Edition (Exclusive),銃器,Weapon,3147,2026-09-21,20,3147,3147,16953,6294,45,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
434,AK-47:リヴァイ 先鋒版(専属),AK47: Strongest Human Vanguard Edition (Exclusive),銃器,Weapon,,,,,629,1573536,1259,382,直近30日間の取引データなし,2026-09-22
435,AK-47:リヴァイ 旗艦版(専属),AK47: Strongest Human Flagship Edition (Exclusive),銃器,Weapon,2360,2026-09-22,12,2360,2360,11479,4721,59,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
436,M16A4:自由の翼 先鋒版(専属),M16A4: Liberty Wind Vanguard Edition (Exclusive),銃器,Weapon,1511,2026-09-21,8,1112,1452,629414,1655,193,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
437,M16A4:自由の翼 進化版(専属),M16A4: Liberty Wind Enjoy Edition (Exclusive),銃器,Weapon,2609,2026-09-22,10,2447,2628,12747,3147,23,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
438,M16A4:自由の翼 旗艦版(専属),M16A4: Liberty Wind Flagship Edition (Exclusive),銃器,Weapon,3984,2026-09-22,52,3678,3882,21033,6294,55,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
443,M27:ドラゴンフォース 旗艦版(専属),M27: Dragon Force Flagship Edition (exclusive),銃器,Weapon,6294,2026-09-21,17,6294,6294,30415,12588,91,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
444,P90:ドラゴンフォース 先鋒版(専属),P90: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,,,,,787,6249,1574,55,直近30日間の取引データなし,2026-09-22
445,P90:ドラゴンフォース 豪華版(専属),P90: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,1896,2026-09-07,2,1888,2437,4135,3147,13,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
446,P90:ドラゴンフォース 旗艦版(専属),P90: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,3182,2026-09-16,5,3381,3147,314707,6294,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
447,SACR-L:ドラゴンフォース 先鋒版(専属),SACR-L: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,1574,2026-09-10,2,1574,2466,144052,3147,50,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
448,SACR-L:ドラゴンフォース 豪華版(専属),SACR-L: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,,,,,3895,17310,6294,9,直近30日間の取引データなし,2026-09-22
449,SACR-L:ドラゴンフォース 旗艦版(専属),SACR-L: Dragon Force Flagship Edition (Exclusive),銃器,Weapon,6294,2026-09-22,30,6294,6294,15054,12588,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
450,CS LR4:ドラゴンフォース 先鋒版(専属),CS/LR-4: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,3572,2026-09-22,8,3279,4447,6094,3690,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
451,CS LR4:ドラゴンフォース 豪華版(専属),CS/LR-4: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,5839,2026-09-18,5,6598,7704,8843,6423,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
452,CS LR4:ドラゴンフォース 旗艦版(専属),CS/LR-4: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,10505,2026-09-22,36,10740,10692,13702,12091,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
453,M27:ドラゴンフォース 先鋒版(専属),M27: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,,,,,1574,8675,3147,45,直近30日間の取引データなし,2026-09-22
454,M27:ドラゴンフォース 豪華版(専属),M27: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3147,2026-09-13,3,3147,3147,12588,6294,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
466,HK50:炎炎ノ消防隊 先鋒版(専属),HK50: Blaze Firefighters Vanguard Edition (Exclusive),銃器,Weapon,,,,,771,5844,787,25,直近30日間の取引データなし,2026-09-22
467,HK50:炎炎ノ消防隊 豪華版(専属),HK50: Blaze Firefighters Enjoy Edition (Exclusive),銃器,Weapon,,,,,957,2606,1574,10,直近30日間の取引データなし,2026-09-22
468,HK50:炎炎ノ消防隊 旗艦版(専属),HK50: Blaze Firefighters Flagship Edition (Exclusive),銃器,Weapon,,,,,3147,6294,3147,3,直近30日間の取引データなし,2026-09-22
469,M860:ハーレイ･クイン 先鋒版(専属),M860: Harley Quinn Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,,,,,1972,4126,787,9,直近30日間の取引データなし,2026-09-22
470,M860:ハーレイ･クイン 豪華版(専属),M860: Harley Quinn Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,,,,,2486,4341,1574,2,直近30日間の取引データなし,2026-09-22
471,M860:ハーレイ･クイン 旗艦版(専属),M860: Harley Quinn Flagship Edition (Exclusive),不明（カテゴリタグなし）,,6609,2026-09-17,4,6648,6766,7081,7270,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
472,AUG:ハーレイ･クイン 先鋒版(専属),AUG: Harley Quinn Vanguard Edition (Exclusive),銃器,Weapon,779,2026-09-20,2,589,787,4798,856,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
473,AUG:ハーレイ･クイン 豪華版(専属),AUG: Harley Quinn Enjoy Edition (Exclusive),銃器,Weapon,1794,2026-09-10,2,1786,1888,11237,1574,13,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
474,AUG:ハーレイ･クイン 旗艦版(専属),AUG: Harley Quinn Flagship Edition (exclusive),銃器,Weapon,3418,2026-09-19,3,3107,3693,30437,3759,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
476,初号機95式 Ⅲ型(専属),QBZ-95: Unit-01 Type III (Exclusive),銃器,Weapon,8730,2026-09-13,6,6702,7410,8777,6294,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-22
