goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3085,2026-09-11,16,3343,4314,1542501,6170,180,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6170,2026-08-30,2,6170,6170,94295,12340,29,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12340,2026-09-02,4,12340,12340,12340,24680,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,23138,2026-08-31,4,23523,23138,23138,46275,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,41648,2026-09-10,3,41648,41648,45661,83295,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,,,,,123400,138825,246800,3,直近30日間の取引データなし,2026-09-11
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,347063,347063,694125,2,直近30日間の取引データなし,2026-09-11
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5661,2026-09-11,42,5708,5928,1542501,8484,123,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,9385,2026-09-11,55,8282,8741,146497,16968,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,13574,2026-09-11,26,13574,13574,41415,33935,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,21658,38563,21595,3,直近30日間の取引データなし,2026-09-11
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,91654,91654,21595,1,直近30日間の取引データなし,2026-09-11
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,262071,1542501,15425,2,直近30日間の取引データなし,2026-09-11
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,33437,62488,5245,3,直近30日間の取引データなし,2026-09-11
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,14243,2026-08-26,1,14243,21982,62488,5245,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,771,2026-09-08,1,771,771,1542501,1543,551,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,1543,2026-08-22,1,1543,1543,222134,3085,117,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3085,262225,6170,17,直近30日間の取引データなし,2026-09-11
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,5553,2026-08-15,1,5553,5553,21595,11106,19,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,10798,2026-08-24,1,10798,10798,36048,21595,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,20824,136157,41648,2,直近30日間の取引データなし,2026-09-11
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,,,,,38563,313646,77125,21,直近30日間の取引データなし,2026-09-11
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,1413,2026-09-03,1,1413,1772,15425,309,48,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1845,2026-09-04,5,1452,1650,15425,309,25,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,,,,,1234,7713,2468,26,直近30日間の取引データなし,2026-09-11
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,1146,2026-09-08,7,1071,1327,1538404,1543,318,※価格トレンドAPI(日次データ)に基づく近似値,2026-09-11
