goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3472,2026-08-20,14,3587,3526,1585485,6342,180,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6342,2026-08-19,2,6342,6342,96922,12684,31,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12684,2026-08-19,3,12684,12684,12684,25368,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,25368,2026-08-18,5,24099,0,0,47565,0,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,42808,2026-08-12,6,43429,42808,46934,85616,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,126839,2026-08-11,1,126839,126839,142694,253678,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,356734,2026-08-11,2,356734,356734,356734,713468,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5785,2026-08-19,43,5630,6279,1585485,8720,118,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8172,2026-08-20,55,8304,8088,150580,17440,32,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,13952,2026-08-15,20,13953,13952,42569,34881,18,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-20
