goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3186,2026-08-17,15,3556,3201,1593139,6373,182,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6373,2026-08-06,1,6373,6373,97390,12745,34,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12745,2026-08-14,2,12745,12745,12745,25490,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,23897,2026-08-14,4,23897,0,0,47794,0,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,43015,2026-08-12,7,43549,43015,47160,86030,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,127451,2026-08-11,1,127451,127451,143383,254902,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,358456,2026-08-11,2,358456,358456,358456,716913,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5839,2026-08-18,41,5649,5871,1593139,8762,121,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,7967,2026-08-18,55,8339,8146,151307,17525,37,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14020,2026-08-15,21,14020,14020,42774,35049,16,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,39827,39828,22304,2,直近30日間の取引データなし,2026-08-18
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,94663,94663,22304,1,直近30日間の取引データなし,2026-08-18
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,17642,2026-08-09,1,17642,318628,1593139,15931,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,34534,64540,5417,3,直近30日間の取引データなし,2026-08-18
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,22704,64540,5417,5,直近30日間の取引データなし,2026-08-18
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,797,1593139,1593,548,直近30日間の取引データなし,2026-08-18
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,,,,,1593,229426,3186,118,直近30日間の取引データなし,2026-08-18
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3186,270834,6373,17,直近30日間の取引データなし,2026-08-18
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,5735,2026-08-15,1,5735,5735,22304,11471,19,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11152,37232,22304,13,直近30日間の取引データなし,2026-08-18
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21507,140626,43015,2,直近30日間の取引データなし,2026-08-18
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,39828,2026-07-21,1,39828,39828,323943,79657,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,2431,2026-07-27,2,1310,1939,15931,319,49,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1327,2026-08-15,2,1327,1359,15931,1459,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,1275,2026-07-30,2,1275,1275,7966,2549,27,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,1359,2026-08-16,16,1104,1259,1588908,1593,318,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
432,M4A1:進撃の巨人 旗艦版(専属),M4A1: Power Reverence Flagship Edition (Exclusive),銃器,Weapon,1593,2026-08-18,25,1696,1593,1593139,3186,87,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
433,M4A1:進撃の巨人 豪華旗艦版(専属),M4A1: Power Reverence Deluxe Flagship Edition (Exclusive),銃器,Weapon,3186,2026-08-18,16,3186,3186,17164,6373,52,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
434,AK-47:リヴァイ 先鋒版(専属),AK47: Strongest Human Vanguard Edition (Exclusive),銃器,Weapon,637,2026-08-07,3,637,637,1593139,1275,381,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
435,AK-47:リヴァイ 旗艦版(専属),AK47: Strongest Human Flagship Edition (Exclusive),銃器,Weapon,2390,2026-08-16,5,2390,2390,11622,4779,57,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
436,M16A4:自由の翼 先鋒版(専属),M16A4: Liberty Wind Vanguard Edition (Exclusive),銃器,Weapon,1496,2026-08-18,7,1115,1512,637256,1593,191,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
437,M16A4:自由の翼 進化版(専属),M16A4: Liberty Wind Enjoy Edition (Exclusive),銃器,Weapon,2841,2026-08-15,7,2578,2914,12906,3186,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
438,M16A4:自由の翼 旗艦版(専属),M16A4: Liberty Wind Flagship Edition (Exclusive),銃器,Weapon,3290,2026-08-18,53,3308,3545,21295,6373,68,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
443,M27:ドラゴンフォース 旗艦版(専属),M27: Dragon Force Flagship Edition (exclusive),銃器,Weapon,6373,2026-08-17,15,6376,6373,30794,12745,98,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
444,P90:ドラゴンフォース 先鋒版(専属),P90: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,797,2026-08-17,1,797,797,6326,1593,53,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
445,P90:ドラゴンフォース 豪華版(専属),P90: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,1716,2026-08-12,1,1716,1904,4187,3186,15,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
446,P90:ドラゴンフォース 旗艦版(専属),P90: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,3186,2026-08-16,4,3186,3186,318628,6373,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
447,SACR-L:ドラゴンフォース 先鋒版(専属),SACR-L: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,1740,2026-08-07,3,1643,1593,145847,3186,49,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
448,SACR-L:ドラゴンフォース 豪華版(専属),SACR-L: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,4805,2026-08-11,3,5670,4851,17526,6373,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
449,SACR-L:ドラゴンフォース 旗艦版(専属),SACR-L: Dragon Force Flagship Edition (Exclusive),銃器,Weapon,6373,2026-08-16,19,6373,6373,15242,12745,20,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
450,CS LR4:ドラゴンフォース 先鋒版(専属),CS/LR-4: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,3887,2026-08-07,4,3750,4301,6170,2230,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
451,CS LR4:ドラゴンフォース 豪華版(専属),CS/LR-4: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,6373,2026-08-16,2,6373,6400,8953,7010,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
452,CS LR4:ドラゴンフォース 旗艦版(専属),CS/LR-4: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,8496,2026-08-17,38,9297,8718,9725,9691,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
453,M27:ドラゴンフォース 先鋒版(専属),M27: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,1593,2026-08-07,2,1593,1593,8783,3186,43,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
454,M27:ドラゴンフォース 豪華版(専属),M27: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3186,2026-08-08,3,3186,3186,12745,6373,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
466,HK50:炎炎ノ消防隊 先鋒版(専属),HK50: Blaze Firefighters Vanguard Edition (Exclusive),銃器,Weapon,781,2026-08-07,1,781,781,5917,797,25,※価格トレンドAPI(日次データ)に基づく近似値,2026-08-18
